ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ
41,OREGON,OR,Linn,41043,"Linn County, Oregon",2287.1280791,122870,0,50011,171,47030,502,17528,1484,4471,551,25781,844,8586,694,22051,56,28162,0,21389,973,4261,453,17985,121,1452,308,3478,397,5882,408,1388,286,2651,294,1370,346,14.4,1.2,7.9,1,25781,844,10.1,0.8,17.9,0.1,22.9,0,17.5,0.8,9.1,1,14.6,0.1,1.3,0.3,7,0.8,11.8,0.8,3,0.6,5.6,0.6,1.1,0.3
41,OREGON,OR,Baker,41001,"Baker County, Oregon",3067.9652538,15984,0,8996,68,6927,271,2428,345,540,147,26152,1350,1237,179,4074,38,3107,57,3381,278,375,115,1469,26,78,84,357,124,1361,161,196,75,477,165,575,154,15.7,2.2,8.3,2.2,26152,1350,10.4,1.5,25.5,0.2,19.4,0.4,21.8,1.8,5.4,1.7,9.2,0.2,0.5,0.6,4,1.4,15.1,1.8,2.8,1.1,6.9,2.3,3.6,1
41,OREGON,OR,Josephine,41033,"Josephine County, Oregon",1638.6490441,85481,0,38853,175,35978,502,15670,1206,2805,491,24763,1155,6170,646,21619,135,16788,0,16638,878,2480,389,11003,84,335,189,1203,249,6523,619,1610,349,1978,298,1166,360,18.6,1.4,8.2,1.4,24763,1155,9.8,1,25.3,0.2,19.6,0,19.6,1,6.9,1.1,12.9,0.1,0.4,0.2,3.1,0.6,16.8,1.6,4.5,1,5.5,0.8,1.4,0.4
41,OREGON,OR,Yamhill,41071,"Yamhill County, Oregon",715.8984318,103820,0,38632,194,36197,465,13499,1232,2674,501,29141,994,8159,700,16913,68,23684,51,15667,868,3066,382,23537,167,2932,534,2874,419,4276,438,1424,309,1676,258,5437,508,13.7,1.3,5.4,1,29141,994,11.7,1,16.3,0.1,22.8,0,15.4,0.8,8.5,1.1,22.7,0.2,3,0.5,7.4,1.1,11.1,1.1,3.9,0.9,4.6,0.7,5.2,0.5
41,OREGON,OR,Douglas,41019,"Douglas County, Oregon",5035.6452323,108323,0,50036,111,45026,579,17353,1505,3695,519,25602,827,8699,634,26671,115,21045,34,22325,1038,3387,431,12923,94,554,239,2392,359,9904,589,1280,247,3026,426,1807,221,16.2,1.4,8.1,1.1,25602,827,10.9,0.8,24.6,0.1,19.4,0,20.7,1,7.5,1,11.9,0.1,0.5,0.2,4.8,0.7,19.8,1.2,2.8,0.5,6.7,1,1.7,0.2
41,OREGON,OR,Jackson,41029,"Jackson County, Oregon",2783.2540691,214267,0,94525,209,87417,807,34519,2207,6530,689,28728,798,15862,862,45075,99,44616,0,34176,1140,8104,710,40176,297,3675,558,6177,532,12202,676,2764,442,5761,598,3674,452,16.3,1,6.5,0.7,28728,798,10.4,0.6,21,0.1,20.8,0,16,0.5,9.3,0.8,18.8,0.1,1.8,0.3,6.5,0.6,12.9,0.7,3.2,0.5,6.6,0.7,1.7,0.2
41,OREGON,OR,Harney,41025,"Harney County, Oregon",10134.4334394,7228,0,3877,32,3157,180,1179,310,435,151,25871,2320,537,128,1695,38,1499,16,1541,170,250,98,971,48,27,64,85,52,939,163,100,55,133,48,179,56,16.6,4.4,13.1,4.5,25871,2320,10.2,2.4,23.5,0.5,20.7,0.2,21.6,2.4,7.9,3.1,13.4,0.7,0.4,0.9,2.2,1.3,24.2,4.2,3.2,1.8,4.2,1.5,2.5,0.8
41,OREGON,OR,Coos,41011,"Coos County, Oregon",1596.0356154,63308,0,30971,89,26640,550,10671,1034,2081,327,26610,1275,5253,580,15845,113,11759,78,14590,861,2033,336,9270,86,259,146,1398,237,4990,431,757,187,2246,348,1079,183,17.1,1.7,7.7,1.2,26610,1275,11.2,1.2,25,0.2,18.6,0.1,23.4,1.4,7.6,1.3,14.6,0.1,0.4,0.2,4.5,0.8,16.1,1.4,2.8,0.7,8.4,1.3,1.7,0.3
41,OREGON,OR,Morrow,41049,"Morrow County, Oregon",2030.528388,11215,0,4581,26,3959,129,1733,363,228,85,22599,1418,1748,217,1662,64,3145,35,1758,214,297,81,4501,19,942,175,128,60,1406,173,350,99,127,58,51,47,15.5,3.3,4.5,1.6,22599,1418,24.7,3,14.8,0.6,28,0.3,15.7,1.9,7.5,2,40.1,0.2,9.1,1.7,2.8,1.3,30.7,3.7,8.8,2.5,3.2,1.5,0.5,0.4
41,OREGON,OR,Lake,41037,"Lake County, Oregon",8138.5961825,7843,0,4500,78,3494,202,1201,211,198,76,22469,1859,772,117,1903,43,1478,16,1438,202,286,113,1199,44,37,65,40,42,989,163,103,64,223,86,602,153,16.6,2.9,6,2.3,22469,1859,13.1,2,24.3,0.6,18.8,0.2,19.8,2.7,8.2,3.2,15.3,0.6,0.5,0.9,0.9,0.9,22,3.6,2.9,1.8,6.4,2.5,7.7,2
41,OREGON,OR,Wasco,41065,"Wasco County, Oregon",2381.1338658,25866,0,11648,174,10266,245,3392,542,532,164,26249,1285,2556,285,5161,86,5829,33,4625,372,898,174,6458,22,802,270,832,158,1866,197,306,109,695,164,1160,405,13.4,2.1,4.4,1.4,26249,1285,14.2,1.6,20,0.3,22.5,0.1,18.2,1.4,8.7,1.7,25,0.1,3.3,1.1,7.1,1.4,16,1.6,3,1.1,6.8,1.6,4.5,1.6
41,OREGON,OR,Marion,41047,"Marion County, Oregon",1180.5513467,335553,0,125190,321,116861,940,49460,2610,9718,830,26143,530,32419,1487,50268,81,84092,0,48732,1543,12052,825,114745,309,17738,1155,11916,828,10991,577,5621,596,7142,540,10200,820,15.2,0.8,6.1,0.5,26143,530,14.7,0.7,15,0.1,25.1,0,14.8,0.5,10.3,0.7,34.2,0.1,5.7,0.4,9.5,0.7,8.8,0.5,4.8,0.5,6.1,0.5,3,0.2
41,OREGON,OR,Klamath,41035,"Klamath County, Oregon",5942.7429112,66310,0,33418,87,27402,438,13275,1231,2426,367,24296,782,5838,517,13368,41,14408,29,13060,719,2208,295,14346,23,1095,225,1538,236,5578,391,944,178,1843,277,1065,171,20.3,1.9,8.7,1.3,24296,782,12.6,1.1,20.2,0.1,21.7,0,19.9,1.1,8.1,1.1,21.6,0,1.8,0.4,4.6,0.7,16.7,1.2,3.4,0.6,6.7,1,1.6,0.3
41,OREGON,OR,Jefferson,41031,"Jefferson County, Oregon",1782.2372787,23143,0,10020,74,7892,252,4401,635,950,195,22492,1181,2215,282,4275,83,5463,66,3902,395,699,170,9209,10,434,161,214,93,2104,222,346,97,304,105,984,185,19.9,2.9,10,2.1,22492,1181,14,1.8,18.5,0.4,23.6,0.3,17.6,1.8,8.9,2.1,39.8,0,2,0.7,2.1,0.9,21,2.2,4.4,1.2,3.9,1.3,4.3,0.8
41,OREGON,OR,Umatilla,41059,"Umatilla County, Oregon",3215.447588,76898,0,30347,125,26886,438,13079,1450,2747,481,23464,891,8944,634,11454,70,19690,16,11849,702,3098,425,25819,58,4344,515,1640,302,4632,396,1672,336,1748,287,4709,298,18.1,2,7.9,1.4,23464,891,17.8,1.3,14.9,0.1,25.6,0,16.3,1,11.5,1.6,33.6,0.1,6.1,0.7,5.4,1,15.3,1.3,6.2,1.2,6.5,1.1,6.1,0.4
41,OREGON,OR,Malheur,41045,"Malheur County, Oregon",9887.7062015,30431,0,11841,90,10138,244,6135,672,903,196,18700,780,3767,301,4901,48,7739,45,4323,295,1179,234,11732,3,1368,245,764,147,2003,198,556,158,816,165,3726,225,23,2.5,7.7,1.6,18700,780,19.1,1.5,16.1,0.2,25.4,0.1,16,1.1,11.6,2.3,38.6,0,4.8,0.9,6.5,1.2,16.9,1.7,5.5,1.6,8,1.6,12.2,0.7
